word,weight
evade,2759.0
thong,2759.0
axiom,2758.0
freed,2757.0
defer,2757.0
joint,2757.0
shall,2756.0
slash,2756.0
stick,2756.0
nobly,2755.0
dogma,2755.0
magic,2754.0
petty,2754.0
heave,2754.0
gaffe,2753.0
cling,2753.0
havoc,2753.0
revue,2753.0
larva,2751.0
stung,2751.0
troop,2751.0
drink,2750.0
canal,2750.0
taunt,2750.0
sorry,2749.0
piece,2748.0
bonus,2747.0
bigot,2747.0
slick,2746.0
abbot,2744.0
taboo,2744.0
pasta,2744.0
pouty,2743.0
limbo,2742.0
slung,2741.0
annul,2740.0
filth,2738.0
bring,2738.0
grown,2737.0
kneel,2737.0
wrong,2737.0
shrug,2736.0
annoy,2734.0
crimp,2731.0
brisk,2731.0
ember,2730.0
shiny,2729.0
lucid,2728.0
morph,2727.0
human,2726.0
sieve,2726.0
shack,2724.0
blond,2724.0
gooey,2724.0
tryst,2723.0
crowd,2722.0
clown,2722.0
seedy,2721.0
balmy,2720.0
birch,2718.0
where,2718.0
dross,2718.0
minty,2716.0
flank,2713.0
every,2711.0
tying,2711.0
butte,2710.0
brown,2707.0
spiny,2707.0
brush,2706.0
doing,2706.0
dingo,2706.0
shrub,2706.0
foamy,2705.0
kebab,2703.0
lying,2701.0
motif,2701.0
motor,2700.0
dwarf,2699.0
modem,2698.0
minus,2698.0
silky,2694.0
wharf,2694.0
suing,2693.0
dodge,2693.0
prior,2693.0
harry,2693.0
using,2693.0
afoot,2693.0
itchy,2691.0
sauna,2690.0
event,2690.0
elegy,2688.0
leggy,2688.0
shift,2688.0
fancy,2686.0
budge,2686.0
debug,2686.0
dusty,2684.0
study,2684.0
drill,2684.0
offal,2683.0
small,2683.0
aloof,2683.0
guess,2680.0
segue,2680.0
frisk,2680.0
glass,2678.0
pivot,2675.0
night,2675.0
thing,2675.0
hence,2674.0
razor,2674.0
unfit,2672.0
shaky,2672.0
parry,2671.0
wordy,2670.0
dowry,2670.0
rowdy,2670.0
undue,2669.0
vixen,2669.0
toxic,2669.0
forum,2668.0
